Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),MD,ML,Mw,Yer,Çözüm Niteliði
2023.06.23,22:09:21,37.8197,37.5168,5.4,-.-,1.5,-.-,SAVRAN-GOLBASI,(ADIYAMAN),Ýlksel
2023.06.23,21:57:28,37.6222,38.5687,17.6,-.-,2.1,-.-,BELOREN-KAHTA,(ADIYAMAN),Ýlksel
2023.06.23,21:06:53,38.1687,36.7112,5.0,-.-,2.4,-.-,BUYUKKIZILCIK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.23,21:05:04,38.3173,37.4983,5.4,-.-,1.8,-.-,YOGUNSOGUT-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.23,21:03:13,40.9977,43.9168,7.3,-.-,2.1,-.-,ERMENISTAN,Ýlksel
2023.06.23,20:56:16,40.9403,43.8322,7.5,-.-,2.2,-.-,SUNGUDERESI-AKYAKA,(KARS),Ýlksel
2023.06.23,20:18:59,37.8023,36.5802,5.1,-.-,1.7,-.-,KAYNAR-(KAHRAMANMARAS),Ýlksel
2023.06.23,20:16:21,35.4660,35.0025,9.4,-.-,2.7,-.-,AKDENIZ,Ýlksel
2023.06.23,20:14:45,38.0683,37.6423,5.0,-.-,3.7,3.7,BEGRE-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.23,20:05:23,38.0770,37.6508,5.0,-.-,3.5,3.4,BEGRE-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.23,19:59:26,39.9450,39.4617,9.2,-.-,2.3,-.-,ORENBEL-KELKIT,(GUMUSHANE),Ýlksel
2023.06.23,19:54:41,37.7580,36.3070,8.2,-.-,1.6,-.-,CIGSAR-ANDIRIN,(KAHRAMANMARAS),Ýlksel
2023.06.23,19:47:51,37.7642,29.3040,12.6,-.-,1.7,-.-,MENTESE-HONAZ,(DENIZLI),Ýlksel
2023.06.23,19:46:23,38.1773,37.0435,4.8,-.-,2.5,-.-,KABAAGAC-AFSIN,(KAHRAMANMARAS),Ýlksel
2023.06.23,19:40:07,36.1087,36.1433,5.0,-.-,1.6,-.-,BOZLU-(HATAY),Ýlksel
2023.06.23,19:22:22,38.2575,37.9532,15.0,-.-,1.9,-.-,OREN-AKCADAG,(MALATYA),Ýlksel
2023.06.23,19:21:24,40.9057,31.0623,24.3,-.-,1.5,-.-,CILIMLI,(DUZCE),Ýlksel
2023.06.23,19:14:52,37.0935,28.4548,6.9,-.-,2.3,-.-,ULA,(MUGLA),Ýlksel
2023.06.23,18:53:02,37.4938,37.1198,5.0,-.-,2.0,-.-,KARTAL-(KAHRAMANMARAS),Ýlksel
2023.06.23,18:18:13,38.2795,38.7487,29.9,-.-,2.0,-.-,BALPINARI-PUTURGE,(MALATYA),Ýlksel
2023.06.23,17:59:11,38.1597,38.6957,2.6,-.-,1.3,-.-,SAHILKOY-PUTURGE,(MALATYA),Ýlksel
2023.06.23,17:46:12,38.3728,37.7670,5.0,-.-,1.9,-.-,DEMIRCILER-AKCADAG,(MALATYA),Ýlksel
2023.06.23,17:40:54,38.2013,38.5373,6.7,-.-,2.3,-.-,GULUMUSAGI-(MALATYA),Ýlksel
2023.06.23,17:29:41,38.3407,38.5543,4.5,-.-,1.6,-.-,COLAKLI-(MALATYA),Ýlksel
2023.06.23,17:10:32,40.0993,42.1160,6.0,-.-,2.4,-.-,DEGIRMENLER-HORASAN,(ERZURUM),Ýlksel
2023.06.23,17:04:01,39.4305,26.0315,7.0,-.-,1.4,-.-,BADEMLI,ACIKLARI-CANAKKALE,(EGE,DENIZI),Ýlksel
2023.06.23,16:04:30,40.9535,30.5932,25.0,-.-,1.6,-.-,YASSIGECIT-KARASU,(SAKARYA),Ýlksel
2023.06.23,14:36:25,38.2637,38.1118,18.4,-.-,2.1,-.-,GORGU-YESILYURT,(MALATYA),Ýlksel
2023.06.23,13:58:10,38.3743,38.6293,4.7,-.-,1.7,-.-,MERDIVENLER-(MALATYA),Ýlksel
2023.06.23,13:51:16,38.5013,37.6797,25.0,-.-,1.3,-.-,HISARCIK-DARENDE,(MALATYA),Ýlksel
2023.06.23,13:50:36,38.1608,27.5042,5.0,-.-,2.0,-.-,ARIKBASI-BAYINDIR,(IZMIR),Ýlksel
2023.06.23,13:31:17,38.4780,37.5332,5.7,-.-,2.2,-.-,YENICE-DARENDE,(MALATYA),Ýlksel
2023.06.23,13:13:15,38.3038,37.3507,8.3,-.-,1.8,-.-,TURKOREN-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.23,13:05:06,36.1278,35.8792,12.8,-.-,1.5,-.-,KAPISUYU-SAMANDAG,(HATAY),Ýlksel
2023.06.23,12:36:59,37.0927,28.4232,6.9,-.-,2.2,-.-,ULA,(MUGLA),Ýlksel
2023.06.23,12:31:04,39.9117,28.7742,0.0,-.-,1.8,-.-,CIVILI-ORHANELI,(BURSA),Ýlksel
2023.06.23,12:11:16,38.4825,37.5933,1.2,-.-,1.8,-.-,BALABAN-DARENDE,(MALATYA),Ýlksel
2023.06.23,12:04:43,37.6570,35.5798,9.1,-.-,1.5,-.-,ERGENUSAGI-KOZAN,(ADANA),Ýlksel
2023.06.23,11:52:36,41.1295,29.0102,0.0,-.-,1.2,-.-,SARIYER,(ISTANBUL),Ýlksel
2023.06.23,11:35:08,37.7565,27.1422,5.0,-.-,2.1,-.-,KUSADASI,KORFEZI,(EGE,DENIZI),Ýlksel
2023.06.23,11:08:13,37.0472,36.2745,5.0,-.-,3.0,-.-,KARACALAR-(OSMANIYE),Ýlksel
2023.06.23,10:46:47,37.7505,27.1208,5.3,-.-,2.8,-.-,KUSADASI,KORFEZI,(EGE,DENIZI),Ýlksel
2023.06.23,10:40:53,37.1847,36.9957,1.0,-.-,2.5,-.-,ATALAR-SEHITKAMIL,(GAZIANTEP),Ýlksel
2023.06.23,10:21:51,37.9135,36.3058,13.0,-.-,1.5,-.-,HACIKODAL-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.23,10:18:21,38.3307,37.7675,9.9,-.-,2.0,-.-,DUTLU-AKCADAG,(MALATYA),Ýlksel
2023.06.23,10:17:11,38.0518,37.5523,5.9,-.-,2.0,-.-,TATLAR-NURHAK,(KAHRAMANMARAS),Ýlksel
2023.06.23,08:36:15,37.2638,35.6218,4.2,-.-,1.9,-.-,ALAYBEYI-IMAMOGLU,(ADANA),Ýlksel
2023.06.23,08:31:22,37.3445,37.0132,4.5,-.-,2.1,-.-,KELIBISLER-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.23,08:30:12,37.4247,37.1193,4.4,-.-,1.4,-.-,DENIZLI-PAZARCIK,(KAHRAMANMARAS),Ýlksel
2023.06.23,08:21:23,36.1877,35.8145,5.7,-.-,1.9,-.-,AKDENIZ,Ýlksel
2023.06.23,07:53:18,37.8173,36.5692,5.4,-.-,2.6,-.-,CUKURHISAR-(KAHRAMANMARAS),Ýlksel
2023.06.23,06:43:44,36.4787,29.5275,26.4,-.-,2.6,-.-,CAMLIKOY-KAS,(ANTALYA),Ýlksel
2023.06.23,06:41:39,36.0758,36.0290,4.3,-.-,1.2,-.-,YESILYAZI-SAMANDAG,(HATAY),Ýlksel
2023.06.23,06:38:36,38.1360,38.2388,14.1,-.-,2.4,-.-,CAMPINAR-CELIKHAN,(ADIYAMAN),Ýlksel
2023.06.23,06:32:57,36.5687,36.1920,5.9,-.-,2.7,-.-,ASKARBEYLI-ISKENDERUN,(HATAY),Ýlksel
2023.06.23,06:08:27,36.9160,35.0477,31.0,-.-,2.7,-.-,YUKSEKKOY-TARSUS,(MERSIN),Ýlksel
2023.06.23,05:41:05,38.4670,39.3718,6.6,-.-,2.0,-.-,SUREK-SIVRICE,(ELAZIG),Ýlksel
2023.06.23,05:34:26,38.1683,37.8298,15.8,-.-,1.2,-.-,POLAT-DOGANSEHIR,(MALATYA),Ýlksel
2023.06.23,05:22:16,39.9562,44.4550,14.2,-.-,1.8,-.-,RAMAZANKENT-ARALIK,(IGDIR),Ýlksel
2023.06.23,05:21:59,39.3560,27.8917,7.9,-.-,2.0,-.-,KOZDEREGUVEN-(BALIKESIR),Ýlksel
2023.06.23,05:12:43,36.6970,36.1077,6.8,-.-,2.0,-.-,ISKENDERUN,KORFEZI,Ýlksel
2023.06.23,05:03:52,36.1148,35.8032,17.7,-.-,2.7,-.-,AKDENIZ,Ýlksel
2023.06.23,04:49:59,38.0703,36.8675,4.5,-.-,1.4,-.-,ERICEK-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.23,04:36:33,36.7233,36.1268,6.8,-.-,2.7,-.-,ISKENDERUN,KORFEZI,Ýlksel
2023.06.23,04:34:52,38.3910,39.2668,4.1,-.-,1.9,-.-,SOGUKPINAR-SIVRICE,(ELAZIG),Ýlksel
2023.06.23,04:33:28,38.1087,36.9987,5.4,-.-,1.8,-.-,CALIS-ELBISTAN,(KAHRAMANMARAS),Ýlksel
2023.06.23,04:22:09,37.8627,26.9388,11.1,-.-,1.2,-.-,KUSADASI,KORFEZI,(EGE,DENIZI),Ýlksel
2023.06.23,04:19:54,37.6443,36.3298,8.7,-.-,1.3,-.-,ALTINBOGA-ANDIRIN,(KAHRAMANMARAS),Ýlksel
2023.06.23,04:17:39,37.0382,36.1152,9.4,-.-,2.7,-.-,BUYUKTUYSUZ-TOPRAKKALE,(OSMANIYE),Ýlksel
2023.06.23,04:00:51,39.0672,39.0773,19.0,-.-,1.6,-.-,BOZAGAC-CEMISGEZEK,(TUNCELI),Ýlksel
2023.06.23,03:53:18,37.9205,36.5077,27.8,-.-,1.2,-.-,DEGIRMENDERE-GOKSUN,(KAHRAMANMARAS),Ýlksel
2023.06.23,03:50:35,38.0945,36.5638,8.2,-.-,1.5,-.-,YAGMURLU-GOKSUN,(KAHRAMANMARAS),Ýlksel
